date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:03:56	14280/14280	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2237c8-5b97b831b998f%22	https://avatao.com/xoojeeny/contact-form-7/includes/js/scripts.js?ver=5.3.2	./httrack/avatao/avatao.com/xoojeeny/contact-form-7/includes/js/scripts9dff.js	(from https://avatao.com/)
07:03:56	46139/46139	---MCZ	200	added ('OK')	text/html	etag:W/%22b43b-5bbfaa5c1f045%22	https://avatao.com/privacy-policy/	./httrack/avatao/avatao.com/privacy-policy/index.html	(from https://avatao.com/)
07:03:56	49456/49456	---MCZ	200	added ('OK')	text/html	etag:W/%22c130-5bbfaa58dc772%22	https://avatao.com/web-security-training/	./httrack/avatao/avatao.com/web-security-training/index.html	(from https://avatao.com/)
07:03:56	44142/44142	---MCZ	200	added ('OK')	text/html	etag:W/%22ac6e-5bbfaa5a67473%22	https://avatao.com/about/	./httrack/avatao/avatao.com/about/index.html	(from https://avatao.com/)
07:03:58	1267/1267	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%224f3-5b97b831b8dd6%22	https://avatao.com/xoojeeny/contact-form-7/modules/recaptcha/script.js?ver=5.3.2	./httrack/avatao/avatao.com/xoojeeny/contact-form-7/modules/recaptcha/script9dff.js	(from https://avatao.com/)
07:03:59	477339/477339	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%227489b-5b17514281731%22	https://avatao.com/template/js/custom.unified.js?ver=4.6.0	./httrack/avatao/avatao.com/template/js/custom.unified89df.js	(from https://avatao.com/)
07:04:00	560/560	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22230-5b9f4d1ac51e7%22	https://avatao.com/xoojeeny/cf7-styler-for-divi/scripts/frontend-bundle.min.js?ver=1.0.0	./httrack/avatao/avatao.com/xoojeeny/cf7-styler-for-divi/scripts/frontend-bundle.min8a54.js	(from https://avatao.com/)
07:04:01	1360/1360	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22550-5b17514285d83%22	https://avatao.com/template/core/admin/js/common.js?ver=4.6.0	./httrack/avatao/avatao.com/template/core/admin/js/common89df.js	(from https://avatao.com/)
07:04:02	1426/1426	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22592-5baf2e92032ab%22	https://avatao.com/includes/js/wp-embed.min.js?ver=5.6.1	./httrack/avatao/avatao.com/includes/js/wp-embed.mind96d.js	(from https://avatao.com/)
07:04:02	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-5b97b831bad17%22	https://avatao.com/xoojeeny/contact-form-7/assets/ajax-loader.gif	./httrack/avatao/avatao.com/xoojeeny/contact-form-7/assets/ajax-loader.gif	(from https://avatao.com/xoojeeny/contact-form-7/includes/css/styles.css?ver=5.3.2)
